"No","地域階層","地域コード","Item number","地域","District","昼間人口 Daytime population／昭和60年 1985","昼間人口 Daytime population／平成2年 1990","昼間人口 Daytime population／平成7年 1995","昼間人口 Daytime population／平成12年 2000","昼間人口 Daytime population／平成17年 2005","昼間人口 Daytime population／平成22年 2010","昼間人口 Daytime population／平成27年 2015","昼間人口 Daytime population／平成27年 2015／男 Male","昼間人口 Daytime population／平成27年 2015／女 Female","常住人口 De jure population 1)／昭和60年 1985","常住人口 De jure population 1)／平成2年 1990","常住人口 De jure population 1)／平成7年 1995","常住人口 De jure population 1)／平成12年 2000","常住人口 De jure population 1)／平成17年 2005","常住人口 De jure population 1)／平成22年 2010","常住人口 De jure population 1)／平成27年 2015","常住人口 De jure population 1)／平成27年 2015／男 Male","常住人口 De jure population 1)／平成27年 2015／女 Female"
68,2,13308,4,奥多摩町,Okutama-machi,7830,7435,7218,6807,6205,5747,5213,2648,2565,9273,8750,8257,7575,6741,6045,5234,2579,2655
69,1,13350,,島部,All islands,33799,32554,32366,27967,29176,28000,27259,14436,12823,33587,32325,32077,27640,28737,27815,26491,13859,12632
70,2,13361,1,大島町,Oshima-machi,10413,10056,9770,9292,8789,8490,7998,4128,3870,10377,10004,9693,9224,8701,8461,7884,4031,3853
71,2,13362,2,利島村,Toshima-mura,302,326,332,325,327,348,416,238,178,297,315,317,302,308,341,337,191,146
72,2,13363,3,新島村,Niijima-mura,3663,3516,3180,3176,3199,2890,2805,1388,1417,3653,3505,3163,3147,3161,2883,2749,1344,1405
73,2,13364,4,神津島村,Kouzushima-mura,2286,2326,2283,2159,2076,1895,1938,995,943,2281,2314,2276,2144,2068,1889,1891,969,922
74,2,13381,5,三宅村,Miyake-mura,4199,3922,3853,-,2519,2711,2574,1421,1153,4167,3911,3831,-,2439,2676,2482,1350,1132
75,2,13382,6,御蔵島村,Mikurajima-mura,270,306,282,330,312,355,431,257,174,260,293,275,308,292,348,335,189,146
76,2,13401,7,八丈町,Hachijo-machi,10089,9472,9550,9569,8927,8258,7731,3872,3859,10024,9420,9476,9488,8833,8231,7613,3785,3828
77,2,13402,8,青ヶ島村,Aogashima-mura,230,217,245,228,245,209,225,139,86,225,203,237,203,214,201,178,107,71
78,2,13421,9,小笠原村,Ogasawara-mura,2347,2413,2871,2888,2782,2844,3141,1998,1143,2303,2360,2809,2824,2721,2785,3022,1893,1129
